,Sıcaklık,Nem,Rüzgar,Yağış,Hissedilen Sıcaklık
0,24.36571,87.42857,1.36146,0.0,26.29536
2,24.64373,92.6322,1.73949,0.0,26.32746
3,21.01639,88.6623,0.43639,0.77115,22.28148
5,22.24246,93.46842,6.06737,0.0,23.1793
6,20.50678,82.93729,0.46932,0.0,20.78407
9,21.25983,89.04667,1.54593,0.0,22.86717
10,19.27288,99.85085,2.79847,0.0,20.16186
12,28.13931,67.08138,3.04172,0.0,30.5419
13,26.89627,95.80678,3.65068,0.0,31.03271
14,24.70984,78.03279,2.28774,0.0,26.31213
15,28.53933,65.84083,5.27353,0.0,31.10733
16,21.68317,100.0,2.03133,0.0,23.19967
17,29.79167,64.35,3.13333,0.0,33.30933
18,24.72525,81.3678,0.78339,0.0,26.53712
19,26.57267,95.82667,4.34487,0.0,30.0015
20,25.25571,71.53232,2.57429,0.0,26.55071
21,24.71393,83.12459,1.39146,0.0,26.78393
22,20.72364,100.0,2.02964,0.09073,22.10345
23,23.93,81.03333,1.85833,0.0,25.79767
24,24.09067,75.04917,4.14383,0.0,25.70533
25,25.86656,80.36262,1.9477,0.0,27.35803
27,22.07797,98.7339,1.26288,1.02475,23.77339
28,24.92083,90.38333,0.9726,0.0,26.87383
29,27.02326,94.24565,4.11659,0.0,31.27022
30,27.10333,68.71667,2.23,0.0,28.835
31,25.9713,39.48056,1.88648,0.0,26.16204
32,25.24288,80.05763,1.59017,0.0,26.58542
33,25.87,95.76667,3.4,0.0,27.90083
34,21.07458,90.57627,1.97458,0.0,22.50017
37,25.89847,46.48186,3.11136,0.0,26.37203
40,20.42569,88.23103,2.75483,0.00362,21.5619
41,19.5563,100.0,3.68259,0.0,20.25815
42,25.75621,55.12724,5.05276,0.0,26.51052
44,24.25133,97.57667,3.38558,0.0,25.9305
46,22.34932,99.67966,1.14153,0.0,23.35102
47,23.59942,60.3525,2.73,0.0,25.22923
49,28.5479,67.22065,3.94935,0.0,31.33016
51,19.89491,88.83818,3.458,0.0,20.70727
54,26.04746,82.55288,3.02898,0.0,27.83797
55,23.10267,94.46167,2.43255,0.0,24.728
56,19.95867,85.24333,3.95933,0.0,20.7505
60,22.72,84.13333,0.565,0.0,24.426
61,24.88643,85.33964,3.52714,0.0,26.27286
62,23.03607,85.0,1.00164,0.0,25.05131
64,27.46833,72.35,3.22167,0.0,29.91067
65,26.70803,95.26885,3.315,0.0,30.38885
66,21.87732,96.50536,2.148,0.0,23.375
67,26.39633,65.69433,2.53698,0.0,27.63617
69,22.44833,87.0,0.93,0.0,24.245
70,22.34685,99.8537,0.70478,0.0,24.43556
71,23.55333,82.0,1.90167,0.0,25.37
72,25.62346,85.93654,1.96685,0.0,27.04673
73,26.25519,80.18577,1.91,0.0,28.14846
74,22.41034,100.0,1.27069,0.0,24.25431
76,26.2,67.57627,5.72881,0.0,27.47356
78,20.71944,90.42037,2.79667,0.00148,21.87185
79,21.80842,99.90526,0.26854,0.0,22.86667
80,25.7682,79.07377,0.82523,0.0,27.19525
81,20.03667,100.0,1.12833,0.0,21.69833
82,26.79754,95.23934,3.75439,0.0,30.65393
83,21.74717,66.361,1.9353,0.0,23.3065
84,25.635,95.81667,2.96493,0.0,27.21083
