,Sıcaklık,Nem,Rüzgar,Yağış,Hissedilen Sıcaklık
0,8.90556,81.23963,1.42681,0.0,9.34944
2,8.51508,89.31148,1.73,40.825,8.38984
3,2.75185,51.90741,1.88333,0.0,1.68704
4,7.72096,95.64727,1.33633,0.0,8.01255
5,12.97193,57.64912,4.34912,0.0,12.17228
6,4.96809,82.17021,4.3766,0.00426,2.39894
7,13.62667,64.61667,1.34833,0.0,14.53117
8,8.02364,100.0,2.53091,0.02727,7.21491
10,9.26052,84.31034,2.86522,0.0,8.38931
11,9.86333,75.31667,2.05167,0.0,9.61133
12,10.39763,69.75,2.59915,0.0,9.89441
13,7.6628,95.41071,1.46602,0.0,7.71857
15,9.76508,55.90934,2.13718,0.0,9.49164
16,12.14833,91.11667,0.715,0.0,13.747
18,7.095,47.41667,3.47667,0.0,5.46733
19,14.87544,72.18544,6.74256,0.0,13.85982
20,4.41667,69.15,2.81333,0.0,3.01583
21,9.81441,99.37797,0.7922,0.0,10.59017
22,7.64651,97.79298,1.08733,0.00088,8.43053
24,10.04817,88.455,2.14728,0.0,9.80867
26,4.23774,91.0,7.11887,0.0,0.33434
27,13.355,89.02143,3.11173,0.0,13.07661
28,13.19179,98.62321,3.43,0.0,12.77089
29,3.625,81.75,8.22667,0.0,-0.80733
30,8.39375,97.56607,0.71393,29.7027,9.08071
32,8.01017,75.64457,3.76478,0.53217,6.50196
33,9.21339,56.72508,1.42998,0.0,9.41085
34,1.7541,58.4405,1.94927,0.0,0.4955
35,-1.44912,81.84211,0.44561,0.0,0.07632
36,5.96063,96.86842,2.29425,0.32386,5.02509
38,13.708,30.16967,2.23815,0.0,14.029
40,6.27971,88.12857,4.34084,0.0,4.02911
42,3.495,73.71667,4.07,0.0,0.7775
43,9.79644,54.46288,1.99324,0.0,9.67932
44,9.18644,69.66085,1.75847,32.89189,9.23881
46,9.75263,65.14035,4.73158,0.0193,8.11649
48,6.0,82.8,5.41167,0.0,3.216
49,5.44576,80.89831,6.6339,0.0,2.02712
51,15.67167,55.34767,1.97918,0.0,16.34267
53,4.24286,91.0,6.97143,0.0,0.39571
54,4.63307,86.14643,1.56446,0.0,4.15071
55,8.68448,85.62241,1.97674,0.0,8.31534
56,12.8982,99.15082,3.18705,0.0,12.51377
57,9.845,74.0,2.32833,0.0,9.419
58,5.80897,96.64833,2.15812,0.0,4.87633
59,4.41787,99.92,0.0,0.0,4.42333
60,3.95667,71.86667,4.62667,0.0,1.04983
61,6.87627,68.98305,4.91186,0.00678,4.48576
62,6.58123,80.2585,1.67958,0.00017,6.28883
63,4.35167,69.23333,7.345,0.0,0.428
64,7.1625,87.326,1.5034,0.0,7.1348
65,6.22167,93.58148,4.61396,0.0,3.82574
67,1.36965,98.92182,1.78855,13.84341,0.19309
68,7.45676,73.12162,6.86622,0.0,4.48824
69,8.15833,53.56667,2.76833,0.0,7.13217
71,7.53802,80.40661,1.73,0.0,7.33051
72,7.84221,70.86421,1.50684,0.0,7.85842
73,7.55167,72.97623,1.78457,0.0,7.59852
75,4.867,82.56545,2.43982,0.0,3.58891
76,4.13704,88.90893,4.95555,0.0,1.08446
77,3.05072,60.6835,2.826,0.0,1.09717
78,12.58153,36.36695,4.13678,0.0,11.7861
81,9.1625,98.95,3.29,0.5,8.23
82,4.42892,76.9905,0.61923,0.0,5.48983
83,13.39172,87.35862,4.90241,29.19565,12.44328
84,3.555,81.61667,7.88667,0.0,-0.792
85,12.99085,75.64017,5.06017,0.0,11.99458
86,10.34788,92.975,2.06077,31.2973,10.23615
87,4.1851,91.86885,3.5038,0.0,1.96721
88,10.29842,61.75526,1.27956,0.0,10.92596
90,7.57148,100.0,2.69679,0.0,6.93
91,14.20345,52.17273,4.40636,0.00227,13.66055
